Ticket_ID,Created_Date,Resolved_Date,Priority,Department,Category,Status
TCK-1030,2025-01-01 12:05:49.954995,2025-01-02 09:28:58.047032842,Low,IT Support,Email,Resolved
TCK-1031,2025-01-01 12:36:04.536453,2025-01-01 14:54:26.623301339,Medium,DevOps,Network,Closed
TCK-1032,2025-01-01 12:36:04.536453,2025-01-01 17:19:22.796318691,High,Operations,Software,Closed
TCK-1033,2025-01-01 13:06:19.117911,2025-01-01 20:52:47.395572132,Medium,HR,Software,Closed
TCK-1034,2025-01-01 14:06:48.280828,2025-01-02 15:37:56.723552120,Medium,Finance,Email,Closed
TCK-1035,2025-01-01 14:06:48.280828,2025-01-02 05:49:53.815057468,Low,HR,Network,Closed
TCK-1036,2025-01-01 16:07:46.606660,2025-01-02 13:09:10.564901044,Low,IT Support,Access Control,Closed
TCK-1037,2025-01-01 18:38:59.513951,2025-01-02 09:43:00.095823984,Medium,Operations,Hardware,Closed
TCK-1038,2025-01-01 19:09:14.095409,2025-01-02 15:52:01.017274508,Low,IT Support,Email,Closed
TCK-1039,2025-01-01 19:09:14.095409,2025-01-01 19:12:18.529185320,Critical,IT Support,Hardware,Closed
TCK-1040,2025-01-01 20:09:43.258325,2025-01-03 20:15:40.113716974,Medium,HR,Network,Closed
TCK-1041,2025-01-01 22:10:41.584158,2025-01-02 00:17:40.011193166,Medium,DevOps,Network,Closed
TCK-1042,2025-01-01 22:40:56.165616,2025-01-02 08:03:56.107605286,Low,HR,Software,Closed
TCK-1043,2025-01-02 00:11:39.909990,2025-01-03 02:43:48.124753860,Medium,IT Support,Hardware,Resolved
TCK-1044,2025-01-02 00:41:54.491449,2025-01-02 10:58:57.192662680,High,DevOps,Hardware,Closed
TCK-1045,2025-01-02 02:12:38.235823,2025-01-04 07:01:53.644407317,Unassigned,HR,Network,Closed
TCK-1046,2025-01-02 02:42:52.817281,2025-01-02 14:03:38.812655100,Low,IT Support,Hardware,Closed
TCK-1047,2025-01-02 03:13:07.398739,2025-01-03 16:38:23.806115416,High,HR,Access Control,Closed
TCK-1048,2025-01-02 03:43:21.980198,2025-01-03 09:41:40.409920634,Low,IT Support,Network,Resolved
TCK-1049,2025-01-02 03:43:21.980198,2025-01-05 03:02:58.178590850,Medium,Finance,Software,Closed
TCK-1050,2025-01-02 04:13:36.561656,2025-01-04 03:13:37.148179545,Medium,DevOps,Software,Resolved
TCK-1051,2025-01-02 05:14:05.724572,2025-01-03 22:20:48.747608729,Unassigned,DevOps,Software,Closed
TCK-1052,2025-01-02 06:14:34.887488,2025-01-03 05:55:05.876858851,Low,IT Support,Hardware,Closed
TCK-1053,2025-01-02 06:14:34.887488,2025-01-02 14:28:26.756547839,Low,IT Support,Network,Resolved
TCK-1054,2025-01-02 06:14:34.887488,2025-01-02 08:15:44.786714142,Medium,IT Support,Software,Resolved
TCK-1055,2025-01-02 07:15:04.050405,2025-01-03 04:15:14.096989844,High,IT Support,Network,Closed
TCK-1056,2025-01-02 08:15:33.213321,2025-01-05 05:30:11.991238707,Medium,IT Support,Hardware,Closed
TCK-1057,2025-01-02 08:15:33.213321,2025-01-03 07:36:08.159229414,Medium,IT Support,Access Control,Closed
TCK-1058,2025-01-02 08:45:47.794779,2025-01-04 08:18:22.152192794,Unassigned,IT Support,Access Control,Closed
TCK-1059,2025-01-02 09:16:02.376237,2025-01-03 14:37:43.908621981,Unassigned,Finance,Access Control,Resolved
TCK-1060,2025-01-02 09:16:02.376237,2025-01-02 12:28:21.197229109,High,HR,Hardware,Closed
TCK-1061,2025-01-02 09:16:02.376237,2025-01-02 14:25:35.416802458,High,IT Support,Software,Closed
TCK-1062,2025-01-02 09:46:16.957695,2025-01-02 17:18:05.786003553,High,HR,Hardware,Closed
TCK-1063,2025-01-02 09:46:16.957695,2025-01-02 13:05:15.445390471,Low,IT Support,Network,Closed
TCK-1064,2025-01-02 10:46:46.120612,2025-01-03 02:27:55.436616070,Low,DevOps,Access Control,Closed
TCK-1065,2025-01-02 11:47:15.283528,2025-01-05 06:30:53.080926099,Medium,HR,Network,Closed
TCK-1066,2025-01-02 11:47:15.283528,2025-01-03 13:35:07.510384217,Unassigned,IT Support,Hardware,Closed
TCK-1067,2025-01-02 12:17:29.864986,2025-01-02 22:12:07.676621232,High,IT Support,Email,Resolved
TCK-1068,2025-01-02 12:47:44.446444,2025-01-02 12:52:36.996199706,Low,IT Support,Email,Closed
TCK-1069,2025-01-02 13:17:59.027902,2025-01-02 20:03:52.347313592,Low,DevOps,Hardware,Resolved
TCK-1070,2025-01-02 13:17:59.027902,2025-01-03 02:45:59.220116766,High,Operations,Software,Closed
TCK-1071,2025-01-02 13:48:13.609360,2025-01-02 20:51:30.892836633,Medium,IT Support,Network,Resolved
TCK-1072,2025-01-02 13:48:13.609360,2025-01-02 15:55:20.396196985,Medium,DevOps,Hardware,Closed
TCK-1073,2025-01-02 14:18:28.190819,2025-01-03 00:50:01.166781166,Medium,IT Support,Hardware,Resolved
TCK-1074,2025-01-02 14:48:42.772277,2025-01-02 20:04:06.225180768,Low,IT Support,Email,Closed
TCK-1075,2025-01-02 15:18:57.353735,2025-01-04 10:30:21.883894614,Critical,IT Support,Access Control,Closed
TCK-1076,2025-01-02 15:18:57.353735,2025-01-02 17:14:51.164496777,High,Operations,Access Control,Closed
TCK-1077,2025-01-02 16:19:26.516651,2025-01-02 17:13:52.548249088,Unassigned,HR,Software,Resolved
TCK-1078,2025-01-02 16:19:26.516651,2025-01-02 16:25:11.793055572,Low,Operations,Software,Closed
TCK-1079,2025-01-02 16:49:41.098109,2025-01-02 23:59:05.619644969,High,HR,Software,Closed
TCK-1080,2025-01-02 17:19:55.679567,2025-01-03 12:46:16.314407479,Medium,IT Support,Email,Resolved
TCK-1081,2025-01-02 19:20:54.005400,2025-01-03 18:56:38.181389484,Medium,DevOps,Hardware,Closed
TCK-1082,2025-01-02 19:51:08.586858,2025-01-03 06:43:13.854108644,Medium,Operations,Software,Resolved
TCK-1083,2025-01-02 20:51:37.749774,2025-01-03 17:36:55.625625990,Critical,DevOps,Email,Closed
TCK-1084,2025-01-02 20:51:37.749774,2025-01-03 04:53:28.450775617,Medium,DevOps,Network,Closed
TCK-1085,2025-01-02 21:21:52.331233,2025-01-03 17:12:04.316235775,Medium,IT Support,Hardware,Closed
TCK-1086,2025-01-02 21:52:06.912691,2025-01-02 22:36:52.419436440,Unassigned,IT Support,Network,Closed
TCK-1087,2025-01-02 22:52:36.075607,2025-01-03 07:47:46.515850854,Medium,IT Support,Access Control,Resolved
TCK-1088,2025-01-02 23:22:50.657065,2025-01-04 03:32:43.349242507,High,HR,Access Control,Closed
TCK-1089,2025-01-03 00:23:19.819981,2025-01-04 05:37:52.744090244,High,Operations,Hardware,Resolved
TCK-1090,2025-01-03 00:53:34.401440,2025-01-03 23:33:37.368509511,High,DevOps,Software,Closed
TCK-1091,2025-01-03 01:23:48.982898,2025-01-03 05:30:32.926038652,Medium,DevOps,Hardware,Closed
TCK-1092,2025-01-03 01:23:48.982898,2025-01-03 06:30:29.752288154,Low,IT Support,Software,Resolved
TCK-1093,2025-01-03 02:24:18.145814,2025-01-07 06:11:42.376583956,Unassigned,DevOps,Access Control,Closed
TCK-1094,2025-01-03 04:25:16.471647,2025-01-03 06:23:07.507162809,Low,Operations,Hardware,Closed
TCK-1095,2025-01-03 04:25:16.471647,2025-01-03 08:00:28.483026054,Medium,HR,Hardware,Closed
TCK-1096,2025-01-03 04:55:31.053105,2025-01-03 07:25:57.190690971,Low,HR,Software,Closed
TCK-1097,2025-01-03 04:55:31.053105,2025-01-03 12:04:15.591896677,Low,DevOps,Access Control,Closed
TCK-1098,2025-01-03 04:55:31.053105,2025-01-03 09:10:20.284863212,Medium,Finance,Access Control,Closed
TCK-1099,2025-01-03 04:55:31.053105,2025-01-03 17:19:08.040615229,High,Operations,Software,Closed
TCK-1101,2025-01-03 06:56:29.378937,2025-01-05 00:39:39.953655866,Low,IT Support,Software,Closed
TCK-1102,2025-01-03 08:27:13.123312,2025-01-03 09:05:24.304179349,Medium,HR,Access Control,Closed
TCK-1103,2025-01-03 09:57:56.867686,2025-01-03 16:54:16.321823435,High,IT Support,Access Control,Resolved
TCK-1104,2025-01-03 10:28:11.449144,2025-01-04 02:48:47.916413820,Low,Finance,Hardware,Resolved
TCK-1105,2025-01-03 10:58:26.030603,2025-01-04 03:41:04.262178416,Medium,IT Support,Access Control,Closed
TCK-1106,2025-01-03 10:58:26.030603,2025-01-03 22:44:56.197677639,Low,Operations,Network,Closed
TCK-1107,2025-01-03 11:28:40.612061,2025-01-04 17:54:57.636168571,Medium,Operations,Network,Closed
TCK-1108,2025-01-03 12:29:09.774977,2025-01-03 13:39:07.229454781,Medium,IT Support,Software,Closed
TCK-1109,2025-01-03 13:29:38.937893,2025-01-04 19:54:53.497912986,High,IT Support,Software,Closed
TCK-1110,2025-01-03 14:30:08.100810,2025-01-04 02:47:27.729253180,Medium,Finance,Software,Closed
TCK-1111,2025-01-03 15:00:22.682268,2025-01-03 17:35:27.578325633,Medium,DevOps,Hardware,Closed
TCK-1112,2025-01-03 15:00:22.682268,2025-01-05 06:02:50.347409079,Medium,IT Support,Network,Closed
TCK-1113,2025-01-03 15:30:37.263726,2025-01-04 10:22:03.108517034,Medium,IT Support,Network,Closed
TCK-1114,2025-01-03 15:30:37.263726,2025-01-03 18:43:29.466535674,Medium,Finance,Access Control,Closed
TCK-1115,2025-01-03 16:31:06.426642,2025-01-03 17:08:04.459706606,Medium,DevOps,Network,Closed
TCK-1116,2025-01-03 17:01:21.008100,2025-01-03 19:45:37.996053802,Medium,IT Support,Access Control,Closed
TCK-1117,2025-01-03 17:31:35.589558,2025-01-04 10:25:12.406559883,High,DevOps,Hardware,Resolved
TCK-1118,2025-01-03 18:32:04.752475,2025-01-03 22:05:28.782576806,Low,Operations,Software,Closed
TCK-1119,2025-01-03 19:02:19.333933,2025-01-03 23:38:40.186045835,Medium,IT Support,Software,Closed
TCK-1120,2025-01-03 20:33:03.078307,2025-01-03 21:00:32.959318581,Medium,Finance,Access Control,Closed
TCK-1121,2025-01-03 21:03:17.659765,2025-01-04 20:09:27.651280201,High,IT Support,Email,Closed
TCK-1122,2025-01-03 21:33:32.241224,2025-01-05 03:29:12.022252962,High,IT Support,Access Control,Closed
TCK-1123,2025-01-03 21:33:32.241224,2025-01-05 02:14:50.590204781,Medium,IT Support,Hardware,Closed
TCK-1124,2025-01-03 22:03:46.822682,2025-01-04 00:31:10.126530482,Medium,HR,Network,Closed
TCK-1125,2025-01-03 22:34:01.404140,2025-01-05 16:37:04.153221800,Medium,DevOps,Access Control,Resolved
TCK-1126,2025-01-03 22:34:01.404140,2025-01-04 18:38:51.773644905,Low,Finance,Hardware,Resolved
TCK-1127,2025-01-03 23:04:15.985598,2025-01-05 16:04:41.515782099,Low,IT Support,Software,Resolved
TCK-1128,2025-01-03 23:34:30.567056,2025-01-04 10:14:36.721129508,Critical,IT Support,Email,Closed
TCK-1129,2025-01-03 23:34:30.567056,2025-01-04 09:54:51.394053813,Critical,Finance,Email,Closed
TCK-1130,2025-01-04 00:04:45.148514,2025-01-05 03:42:30.805608639,High,IT Support,Access Control,Closed
TCK-1131,2025-01-04 00:04:45.148514,2025-01-04 01:50:31.743402069,Medium,IT Support,Network,Closed
TCK-1132,2025-01-04 00:34:59.729972,2025-01-04 13:49:39.035022565,Medium,Finance,Access Control,Closed
TCK-1133,2025-01-04 01:05:14.311431,2025-01-05 09:40:17.507046124,Medium,Operations,Email,Closed
TCK-1134,2025-01-04 01:05:14.311431,2025-01-05 09:00:10.556902087,Medium,IT Support,Email,Closed
TCK-1135,2025-01-04 01:05:14.311431,2025-01-06 09:21:57.322381623,High,DevOps,Software,Closed
TCK-1136,2025-01-04 01:05:14.311431,2025-01-04 22:39:19.699463992,Low,IT Support,Network,Closed
TCK-1137,2025-01-04 01:35:28.892889,2025-01-04 05:47:01.092812241,Low,Finance,Network,Closed
TCK-1138,2025-01-04 02:05:43.474347,2025-01-04 02:27:51.147539846,High,Finance,Email,Closed
TCK-1139,2025-01-04 02:35:58.055805,2025-01-04 14:20:59.731277937,Critical,DevOps,Email,Closed
TCK-1140,2025-01-04 02:35:58.055805,2025-01-04 15:34:34.806495317,High,Finance,Access Control,Closed
TCK-1141,2025-01-04 02:35:58.055805,2025-01-04 07:32:43.956058686,High,HR,Access Control,Resolved
TCK-1142,2025-01-04 04:06:41.800180,2025-01-04 06:30:32.232093336,Low,IT Support,Software,Resolved
TCK-1143,2025-01-04 04:06:41.800180,2025-01-04 19:59:40.817882599,Medium,IT Support,Email,Closed
TCK-1144,2025-01-04 04:36:56.381638,2025-01-05 06:37:32.862825246,Low,Finance,Access Control,Closed
TCK-1145,2025-01-04 05:07:10.963096,2025-01-07 22:50:01.023502825,Medium,Operations,Software,Closed
TCK-1146,2025-01-04 05:07:10.963096,2025-01-05 06:40:51.422610900,Medium,Finance,Network,Resolved
TCK-1147,2025-01-04 05:07:10.963096,2025-01-05 09:31:31.603564072,Medium,DevOps,Email,Closed
TCK-1148,2025-01-04 05:37:25.544554,2025-01-04 22:52:24.269134687,Unassigned,IT Support,Hardware,Resolved
TCK-1149,2025-01-04 05:37:25.544554,2025-01-07 10:21:40.178365577,Medium,HR,Email,Closed
TCK-1150,2025-01-04 05:37:25.544554,2025-01-05 00:00:40.695190221,Medium,IT Support,Access Control,Resolved
TCK-1151,2025-01-04 06:07:40.126012,2025-01-05 17:33:01.580702825,Low,IT Support,Email,Resolved
TCK-1152,2025-01-04 06:37:54.707470,2025-01-06 11:05:53.172756563,Low,HR,Hardware,Closed
TCK-1153,2025-01-04 07:38:23.870387,2025-01-06 07:28:13.064885133,Medium,DevOps,Email,Closed
TCK-1154,2025-01-04 08:08:38.451845,2025-01-04 16:47:23.267100947,High,HR,Access Control,Resolved
TCK-1155,2025-01-04 08:38:53.033303,2025-01-04 10:07:21.992388269,Medium,DevOps,Network,Resolved
TCK-1156,2025-01-04 09:09:07.614761,2025-01-04 12:32:48.221039528,High,DevOps,Access Control,Closed
TCK-1157,2025-01-04 09:09:07.614761,2025-01-04 10:15:03.620678614,Medium,IT Support,Software,Resolved
TCK-1158,2025-01-04 09:39:22.196219,2025-01-04 11:39:39.306696255,Medium,DevOps,Access Control,Resolved
TCK-1159,2025-01-04 09:39:22.196219,2025-01-04 13:19:50.425329417,Medium,IT Support,Software,Resolved
TCK-1160,2025-01-04 10:09:36.777677,2025-01-04 17:40:09.709608903,Low,IT Support,Email,Closed
TCK-1161,2025-01-04 10:39:51.359135,2025-01-05 00:46:50.981511305,Medium,IT Support,Software,Closed
TCK-1162,2025-01-04 11:10:05.940594,2025-01-05 09:33:17.146371908,Medium,IT Support,Email,Closed
TCK-1163,2025-01-04 11:10:05.940594,2025-01-04 15:25:56.857522942,Low,DevOps,Software,Closed
TCK-1164,2025-01-04 11:40:20.522052,2025-01-05 07:45:59.071273505,Critical,Operations,Access Control,Closed
TCK-1165,2025-01-04 14:11:33.429342,2025-01-05 12:07:17.419924848,Low,IT Support,Hardware,Resolved
TCK-1166,2025-01-04 14:41:48.010801,2025-01-05 05:25:04.975339765,Low,IT Support,Email,Closed
TCK-1167,2025-01-04 15:42:17.173717,2025-01-06 09:48:52.527107640,Low,IT Support,Software,Closed
TCK-1168,2025-01-04 16:12:31.755175,2025-01-04 18:19:35.618374996,Medium,DevOps,Hardware,Closed
TCK-1169,2025-01-04 17:43:15.499549,2025-01-04 21:13:48.043654822,Medium,HR,Software,Closed
TCK-1170,2025-01-04 17:43:15.499549,2025-01-05 03:47:49.194558595,Medium,Finance,Software,Closed
TCK-1171,2025-01-04 18:13:30.081008,2025-01-04 20:39:49.879829542,Low,DevOps,Software,Closed
TCK-1172,2025-01-04 19:44:13.825382,2025-01-05 10:46:27.313594051,Low,HR,Access Control,Resolved
TCK-1173,2025-01-04 19:44:13.825382,2025-01-05 04:53:02.806053064,Low,Operations,Software,Closed
TCK-1174,2025-01-04 20:14:28.406840,2025-01-05 02:16:10.417615449,Low,IT Support,Hardware,Closed
TCK-1175,2025-01-04 21:45:12.151215,2025-01-05 01:06:25.512565656,High,Operations,Software,Closed
TCK-1176,2025-01-04 22:15:26.732673,2025-01-05 05:36:36.042066741,Medium,IT Support,Network,Closed
TCK-1177,2025-01-04 22:15:26.732673,2025-01-05 15:06:44.788324708,Medium,IT Support,Email,Resolved
TCK-1178,2025-01-04 23:15:55.895589,2025-01-05 14:42:02.891819439,Low,DevOps,Access Control,Closed
TCK-1179,2025-01-04 23:46:10.477047,2025-01-05 02:59:08.747067895,Unassigned,DevOps,Network,Closed
TCK-1180,2025-01-04 23:46:10.477047,2025-01-05 02:10:17.372973736,High,DevOps,Network,Closed
TCK-1181,2025-01-05 00:16:25.058505,2025-01-05 00:45:37.188620032,High,IT Support,Hardware,Resolved
TCK-1182,2025-01-05 00:16:25.058505,2025-01-05 00:29:55.281221861,Low,Operations,Hardware,Closed
TCK-1183,2025-01-05 00:16:25.058505,2025-01-06 14:24:35.851707234,Low,IT Support,Access Control,Resolved
TCK-1184,2025-01-05 00:46:39.639963,2025-01-05 01:36:29.316640750,High,IT Support,Access Control,Closed
TCK-1185,2025-01-05 00:46:39.639963,2025-01-06 00:25:38.170187727,Low,IT Support,Email,Closed
TCK-1186,2025-01-05 01:16:54.221422,2025-01-06 14:16:57.657811281,Medium,DevOps,Software,Closed
TCK-1187,2025-01-05 01:16:54.221422,2025-01-05 03:08:21.898594505,Low,DevOps,Access Control,Resolved
TCK-1188,2025-01-05 01:47:08.802880,2025-01-05 12:06:14.470392964,Low,HR,Access Control,Resolved
TCK-1189,2025-01-05 02:17:23.384338,2025-01-07 13:17:49.080076374,Low,IT Support,Software,Closed
TCK-1190,2025-01-05 03:17:52.547254,2025-01-06 11:38:12.430988156,Medium,IT Support,Email,Closed
TCK-1191,2025-01-05 03:48:07.128712,2025-01-05 15:54:42.261307083,High,IT Support,Hardware,Closed
TCK-1192,2025-01-05 05:18:50.873087,2025-01-06 07:11:45.958633000,Low,HR,Email,Closed
TCK-1193,2025-01-05 05:18:50.873087,2025-01-06 13:34:14.109360542,Low,DevOps,Software,Closed
TCK-1194,2025-01-05 05:49:05.454545,2025-01-05 13:31:03.788842645,Medium,Finance,Hardware,Closed
TCK-1195,2025-01-05 06:19:20.036003,2025-01-06 22:24:32.289701105,Medium,Operations,Hardware,Closed
TCK-1196,2025-01-05 06:19:20.036003,2025-01-05 17:45:58.043941286,High,IT Support,Hardware,Closed
TCK-1197,2025-01-05 06:49:34.617461,2025-01-05 20:19:58.479970594,High,IT Support,Email,Resolved
TCK-1198,2025-01-05 06:49:34.617461,2025-01-11 09:18:05.731248737,Low,HR,Software,Resolved
TCK-1199,2025-01-05 07:19:49.198919,2025-01-06 16:41:32.179520040,Medium,DevOps,Email,Closed
TCK-1200,2025-01-05 07:50:03.780378,2025-01-05 15:55:02.645989604,High,HR,Email,Closed
TCK-1201,2025-01-05 07:50:03.780378,2025-01-05 08:01:17.666950585,Medium,Operations,Network,Closed
TCK-1202,2025-01-05 08:20:18.361836,2025-01-06 02:02:59.295641915,Low,Finance,Access Control,Closed
TCK-1203,2025-01-05 08:20:18.361836,2025-01-06 06:14:46.661386491,Medium,IT Support,Email,Closed
TCK-1204,2025-01-05 08:20:18.361836,2025-01-06 03:16:35.618524868,High,IT Support,Network,Closed
TCK-1205,2025-01-05 09:20:47.524752,2025-01-07 23:13:32.239221795,Unassigned,DevOps,Software,Resolved
TCK-1206,2025-01-05 09:20:47.524752,2025-01-06 21:07:21.600424800,Medium,DevOps,Network,Closed
TCK-1207,2025-01-05 10:21:16.687668,2025-01-05 21:04:39.023520314,Medium,IT Support,Email,Closed
TCK-1208,2025-01-05 10:51:31.269126,2025-01-05 12:01:38.079542122,Medium,IT Support,Software,Closed
TCK-1209,2025-01-05 11:21:45.850585,2025-01-05 22:59:50.999605497,Low,Finance,Network,Closed
TCK-1210,2025-01-05 12:22:15.013501,2025-01-06 09:24:29.838857819,Low,Finance,Email,Closed
TCK-1211,2025-01-05 12:22:15.013501,2025-01-06 05:12:51.835631017,Medium,IT Support,Software,Closed
TCK-1212,2025-01-05 14:53:27.920792,2025-01-06 04:47:45.085861917,High,HR,Software,Closed
TCK-1213,2025-01-05 16:24:11.665166,2025-01-06 03:47:27.538773849,Low,IT Support,Access Control,Resolved
TCK-1214,2025-01-05 16:24:11.665166,2025-01-05 22:39:49.287126279,Critical,Operations,Email,Closed
TCK-1215,2025-01-05 16:54:26.246624,2025-01-05 22:45:14.957620668,Low,IT Support,Access Control,Closed
TCK-1216,2025-01-05 16:54:26.246624,2025-01-06 05:23:32.190539503,Medium,DevOps,Software,Resolved
TCK-1217,2025-01-05 16:54:26.246624,2025-01-05 20:03:30.891262282,High,Finance,Software,Closed
TCK-1218,2025-01-05 17:24:40.828082,2025-01-06 00:54:33.559951936,Low,IT Support,Network,Closed
TCK-1219,2025-01-05 17:24:40.828082,2025-01-06 00:27:32.072178318,Low,Finance,Access Control,Closed
TCK-1220,2025-01-05 17:54:55.409540,2025-01-06 09:50:19.387609964,Low,IT Support,Hardware,Closed
TCK-1221,2025-01-05 17:54:55.409540,2025-01-05 19:09:27.233046649,Critical,DevOps,Email,Closed
TCK-1222,2025-01-05 17:54:55.409540,2025-01-07 01:46:32.044517377,Medium,Finance,Access Control,Closed
TCK-1223,2025-01-05 18:25:09.990999,2025-01-06 09:17:40.751442176,Low,IT Support,Software,Closed
TCK-1224,2025-01-05 18:55:24.572457,2025-01-06 14:55:28.444235429,High,IT Support,Network,Closed
TCK-1225,2025-01-05 19:25:39.153915,2025-01-06 17:17:08.344731181,Medium,DevOps,Email,Resolved
TCK-1226,2025-01-05 20:26:08.316831,2025-01-06 02:38:17.284236021,Low,IT Support,Email,Resolved
TCK-1227,2025-01-05 20:56:22.898289,2025-01-06 08:22:48.455645723,Medium,HR,Network,Closed
TCK-1228,2025-01-05 20:56:22.898289,2025-01-08 05:15:53.194199441,Medium,IT Support,Software,Closed
TCK-1229,2025-01-05 20:56:22.898289,2025-01-06 23:08:16.223656783,Low,Operations,Hardware,Closed
TCK-1230,2025-01-05 21:26:37.479747,2025-01-08 12:17:52.282072565,Medium,Finance,Network,Closed
TCK-1231,2025-01-05 21:26:37.479747,2025-01-06 22:07:45.681885127,Low,DevOps,Hardware,Closed
TCK-1232,2025-01-05 21:26:37.479747,2025-01-06 00:55:10.333790242,Medium,IT Support,Access Control,Closed
TCK-1233,2025-01-05 21:56:52.061206,2025-01-05 23:08:55.030683382,Low,IT Support,Email,Closed
TCK-1234,2025-01-05 21:56:52.061206,2025-01-06 13:27:46.291861830,Low,IT Support,Software,Closed
TCK-1235,2025-01-05 21:56:52.061206,2025-01-06 05:55:10.437410389,Critical,IT Support,Hardware,Resolved
TCK-1236,2025-01-05 22:27:06.642664,2025-01-06 04:15:06.202130223,Medium,DevOps,Software,Closed
TCK-1237,2025-01-05 22:27:06.642664,2025-01-07 04:04:57.741576431,Low,Finance,Access Control,Closed
TCK-1238,2025-01-05 22:57:21.224122,2025-01-06 07:11:12.593602178,High,HR,Hardware,Closed
TCK-1239,2025-01-05 23:27:35.805580,2025-01-06 06:19:21.572761995,High,DevOps,Software,Closed
TCK-1240,2025-01-05 23:57:50.387038,2025-01-07 10:06:38.402529263,Low,IT Support,Software,Resolved
TCK-1241,2025-01-05 23:57:50.387038,2025-01-07 09:40:19.418636784,High,IT Support,Access Control,Closed
TCK-1242,2025-01-06 00:58:19.549954,2025-01-06 08:54:12.116586697,Medium,Operations,Network,Closed
TCK-1243,2025-01-06 01:28:34.131413,2025-01-07 09:38:16.449787074,High,Finance,Access Control,Closed
TCK-1244,2025-01-06 01:58:48.712871,2025-01-07 12:13:19.271454614,High,Finance,Hardware,Closed
TCK-1245,2025-01-06 01:58:48.712871,2025-01-06 11:54:27.664197977,Medium,IT Support,Hardware,Closed
TCK-1246,2025-01-06 02:29:03.294329,2025-01-06 03:43:20.596834545,Unassigned,HR,Email,Resolved
TCK-1247,2025-01-06 02:59:17.875787,2025-01-06 03:01:00.642194049,High,IT Support,Software,Closed
TCK-1248,2025-01-06 02:59:17.875787,2025-01-06 16:19:25.092248090,Low,Operations,Hardware,Closed
TCK-1249,2025-01-06 03:59:47.038703,2025-01-06 11:35:13.819358544,Critical,Finance,Network,Closed
TCK-1250,2025-01-06 03:59:47.038703,2025-01-10 13:22:12.942430850,Medium,IT Support,Network,Closed
